"Nb","Individual","Code","Nicknames","Sex","EarMark","DOB","DOB Accuracy","FirstRecorded","DateAdult","PresentGp","BirthGp","Mother","Father","DepartureNatalGp","ImmigrationGp1","DateImmigration1","LastSeen1","ImmigrationGp2","DateImmigration2","LastSeen2","ImmigrationGp3","DateImmigration3","LastSeen3","ImmigrationGp4","DateImmigration4","LastSeen4","Reliable data","Comments"
"813","Alabama","Alab",,"F",,"01/10/2022","month","31/10/2022",,"KB","KB","Aare",,,,,,,,,,,,,,,"Yes",
"449","Alcatraz","Alc",,"M",,"01/01/2014","year","14/01/2016",,,"CR","Antarctica",,"20/07/2018","Jacaranda",,"20/07/2018",,,,,,,,,,,"Born 2014, seen on last day CR followed 2018/07/20. Mistakenly identified in BD from immigration date in 2019 until Nov 2020 - it was actually Umbrella - changed in database on 10/11/2020"
"222","Alsiende","Alsi",,"F",,"23/10/2012","day","23/10/2012",,,"BD","Asis",,,,,"21/12/2015",,,,,,,,,,,"Presumed dead"
"172","Amazon","Amaz",,"F","10",,,"13/03/2012",,,"KB",,,,,,"25/05/2015",,,,,,,,,,,
"491","Amgoun","Amg",,"M",,"09/10/2017","day","09/10/2017",,,"KB","Amur",,"27/02/2019",,,"27/02/2019",,,,,,,,,,,"found his body the 27th of February"
"698","Amstel","Amst",,"F",,"01/10/2021","month","12/10/2021",,,"KB","Aaragon",,,,,"03/10/2023",,,,,,,,,,,"probably born on between the 7 to the 12 october 2021"
"179","Amur","Amur",,"F",,"01/12/2011","month","09/05/2012",,,"KB","Amazon",,,,,"08/12/2018",,,,,,,,,,,"Born Dec 2011; Probably dead, body not found."
"113","Amy Winehouse","Amyw",,"F",,,,"29/09/2011",,,"RC",,,,,,"25/11/2011",,,,,,,,,,"No",
"244","Andrew","And",,"M",,"01/01/2009","year","09/02/2013",,,"LT",,,"12/04/2014",,,"12/04/2014",,,,,,,,,,,
"812","Angara","Ang",,"M",,"26/10/2022","day","26/10/2022",,"KB","KB","Aaragon",,"Still present",,,"Still present",,,,,,,,,,"Yes",
"358","Antarctica","Anta",,"F",,,,"31/12/2014",,,"CR",,,,"SplitCR","12/02/2017","10/04/2017",,,,,,,,,,,
"690","Apa","Apa",,"M",,,,"04/06/2021",,"IF",,,,,"LT","04/06/2021","26/07/2022","BD","27/07/2022","14/09/2022","LT","22/09/2022","10/01/2023","BD","25/04/2024","15/08/2024","Yes","Moved from LT to BD for a couple of weeks. Moved back to LT after approx. 2 month stay in BD.  03/10/2024 He was first seen in Ifamily and still there"
"830","Apollo","Apo",,"M",,"01/11/2022","month","17/11/2022",,,"IF","Athena",,"03/08/2024",,,"03/08/2024",,,,,,,,,,"No",
"637","Appel","App",,"M",,"04/11/2020","day","04/11/2020",,"BD","BD","Aapie",,"Still present",,,"Still present",,,,,,,,,,"Yes",
"575","Ardig","Ard",,"M",,"15/11/2018","day","15/11/2018",,,"BD","Asis",,"01/10/2020",,,"01/10/2020",,,,,,,,,,,
"297","Arno","Arn",,"M",,"17/10/2014","day","17/10/2014",,,"KB","Amazon",,"13/05/2019",,,"13/05/2019",,,,,,,,,,,
"129","Arthur","Art",,"M",,,,"03/11/2011",,,,,,,"LT","03/11/2011","14/02/2012","AK","19/04/2012","30/04/2012","BD","25/07/2012","20/05/2014",,,,,"Immigrated from LT to AK between 14/02/2012-20/04, seen in LT on 22/05/12 & 02/07/12, was only officially recorded in AK twice…"
"82","Asis","Asis",,"F","22",,,"19/02/2011",,,"BD",,,,,,"27/03/2023",,,,,,,,,,,
"728","Askies","Ask",,"M",,"27/10/2021","day","27/10/2021",,"BD","BD","Asis",,"Still present",,,"Still present",,,,,,,,,,"Yes",
"332","Asseblief","Ass",,"M",,"05/11/2014","day","05/11/2014",,,"BD","Asis",,"30/05/2019","CR",,"03/04/2023",,,,,,,,,,,"Date of imigration is unknown since he joined crossing during the time they were not followed"
"800","Athena","Athe",,"F",,,,"28/06/2022",,"IF","IF",,,,,,,,,,,,,,,,"Yes",
"386","Atitlan","Ati","Male with bright eyerings","M",,,,"28/04/2015",,,,,,,"KB","28/04/2015","25/01/2016","AK","03/03/2016","25/02/2020",,,,,,,,"Described initially as male with bright eyerings, moved between AK and KB in months before immigration date"
"827","Atjar","Atj",,"M",,"18/11/2022","day","18/11/2022",,"BD","BD","Aapie",,"Still present",,,"Still present",,,,,,,,,,"Yes",
"171","Auckland","Auc",,"M",,,,"27/02/2012",,,,,,,"NH","27/02/2012","25/09/2014",,,,,,,,,,,"2012/04/04 is first time officially recorded in NH in logbook (as ""soft n fluffy"")"
"259","Avon","Avo","Appy","M",,"11/11/2013","day","11/11/2013",,,"KB","Amazon","Nile","06/04/2018","NH","14/05/2018","12/06/2018","IF","12/06/2018","16/06/2020",,,,,,,,"Named Appy until 14/12/14 After leaving NH, Ifamily, seen once more in KB after dept date on 2018/05/01,  seen in bge with NH on 08.12.2018 and in Ifamil on 2/2/19; seen on 16/06/20"
"635","Awash","Awa",,"M",,"03/11/2020","day","03/11/2020",,,"KB","Aare",,"02/04/2025",,,"02/04/2025",,,,,,,,,,"Yes","Born in the night from the 2nd to the 3rd of November 2020"
"886","Axomama","Axo",,"M",,"05/10/2023","day","06/10/2023",,"IF","IF","Athena",,,,,,,,,,,,,,,"Yes","Mistakely identified as female and was correctly identified at the end"
"19","Babelas","Bab","M30","M","30","01/01/2009","year","09/11/2010",,,"BD",,,"15/05/2014","NH","19/05/2014","19/04/2016","LT","24/06/2019","07/04/2021","LT","17/06/2022","30/06/2022",,,,,"Born in 2009. He was captured and collared 21/06/2022 in Lemon Tree. "
"417","Baby Aare 2015","BAar15",,"M",,"12/11/2015","day","12/11/2015",,,"KB","Aare",,"13/02/2016",,,"13/02/2016",,,,,,,,,,,"Presumed dead, no body"
"404","Baby Amur 2015","BAmu15",,,,"01/10/2015","month","25/10/2015",,,"KB","Amur",,,,,"04/11/2015",,,,,,,,,,,"approx. birthdate; presumed dead no body"
"460","Baby Amur 2016","BAmu16",,,,"03/11/2016","day","03/11/2016",,,"KB","Amur",,,,,"15/12/2016",,,,,,,,,,,"deceased, body not found"
"601","Baby Bela-Bela 2019","BBel19",,,,"14/10/2019","day","14/10/2019",,,"NH","Bela-Bela",,,,,"14/10/2019",,,,,,,,,,,"Born dead, very immature.Not carried by the mother"
"252","Baby Beminde 2013","BBem13",,,,"22/10/2013","day","22/10/2013",,,"BD","Beminde",,,,,"24/10/2013",,,,,,,,,,,"Baby found dead"
"215","Baby Bog 2012","BBog12",,"F",,"18/10/2012","day","18/10/2012",,,"NH","Bogota",,,,,"10/12/2012",,,,,,,,,,,"Baby not seen after grp encounter with BD"
"325","Baby Bushy 2014","BBus14",,,,"03/11/2014","day","03/11/2014",,,"LT","Bushy",,,,,"25/02/2015",,,,,,,,,,,
"701","Baby Cam 2011","BCam11",,,,"01/01/2011","year",,,,"LT","Camilla",,,,,,,,,,,,,,,"No","Born in 2011, so is this actually baby Jenny?"
"201","Baby Cam 2012","BCam12",,,,"29/09/2012","day","29/09/2012",,,"LT","Camilla",,,,,"07/05/2013",,,,,,,,,,,"Fate unknown"
"200","Baby Dag 2012","BDag12",,"M",,"25/09/2012","day","25/09/2012",,,"BD","Dagga",,"29/11/2012","InBetweeners",,"29/11/2012",,,,,,,,,,,"Presumably was in new split group with mother"
"702","Baby Daisy 2019","BDai19",,,,"01/01/2019","year",,,,"LT","Daisy",,,,,"07/11/2019",,,,,,,,,,"No","Dead, no body found"
"617","Baby Delilah 2019","BDel19",,,,"01/11/2019","month","04/11/2019",,,"LT","Delilah",,,,,"07/11/2019",,,,,,,,,,,"Dead, no body found"
"771","Baby Dewe 2021","BBDew21",,,,"16/11/2021","day","16/11/2021",,,"LT","Dewe",,,,,"28/12/2021",,,,,,,,,,"NO",
"694","Baby Dian 2021","BDia21",,,,"29/09/2021","day","29/09/2021",,,"LT","Diana",,,,,"29/09/2021",,,,,,,,,,,"born dead and she carried until the 01/1/2021. Born deformed the head was unusual and the forehead was big"
"427","Baby Diana 2015","BDia15",,"M",,"17/11/2015","day","17/11/2015",,,"LT","Diana",,"19/01/2016",,,"19/01/2016",,,,,,,,,,,"last seen w/ wound on back unable to walk properly"
"613","Baby Diana 2019","BDia19",,,,"01/10/2019","month","29/10/2019",,,"LT","Diana",,,,,"29/10/2019",,,,,,,,,,,"Dead, no body found"
"488","Baby Digby 2017","BDig17",,,,"01/01/2017","year","05/10/2017",,,"LT","Digby",,,,,"09/10/2017",,,,,,,,,,,"Probably dead, noted missing on 2017/10/09"
"605","Baby Digby 2019","BDig19",,,,"22/10/2019","day","22/10/2019",,,"LT","Digby",,,,,"24/10/2019",,,,,,,,,,,"Dead, no body found"
"646","Baby Digby 2020","BDig20",,,,"17/11/2020","day","17/11/2020",,,"LT","Digby",,,,,"30/12/2020",,,,,,,,,,,
"758","Baby DodgyKnee 2021","BBDod21",,,,"01/01/2021","year","03/12/2021",,,"CR","DodgyKnee",,,,,"03/01/2022",,,,,,,,,,"NO",
"571","Baby Eina 2018","BEin18",,"M",,"13/11/2018","day","13/11/2018",,,"BD","Eina",,"26/11/2018",,,"26/11/2018",,,,,,,,,,,"Presumed dead"
"206","Baby Emm 2012","BEmm12",,"M",,"08/10/2012","day","08/10/2012",,,"LT","Emma",,"22/05/2013",,,"22/05/2013",,,,,,,,,,,"Fate unknown"
"253","Baby Gaga 2013","BGag13",,"F",,"24/10/2013","day","24/10/2013",,,"AK","Gagasa",,,,,"06/12/2013",,,,,,,,,,,"Last seen on 6/12/13"
"437","Baby Gaga 2015","BGag15",,,,"26/11/2015","day","26/11/2015",,,"AK","Gagasa",,,,,"07/03/2016",,,,,,,,,,,"seen dead (gele carrying) on 07/03/16"
"591","Baby Gaya 2018","BGay18",,"M",,"24/12/2018","day","24/12/2018",,,"NH","Gaya",,"21/01/2019",,,"21/01/2019",,,,,,,,,,,"Died and being carried by the mom the all day, no sign of the mom the day after nore of him when she came back"
"602","Baby Gaya 2019","BGay19",,"M",,"14/10/2019","day","14/10/2019",,,"NH","Gaya",,"26/10/2019",,,"26/10/2019",,,,,,,,,,,"died on the weekend of November 3rd. Sexed by only one observer"
"562","Baby Geneva 2018","BGen18",,,,"05/11/2018","day","05/11/2018",,,"NH","Geneva",,,,,"05/11/2018",,,,,,,,,,,"Born dead"
"492","Baby Gese 2017","BGes17",,,,"09/10/2017","day","09/10/2017",,,"BD","Gesels",,,,,"12/10/2017",,,,,,,,,,,"Presumed dead, no body found"
"408","Baby Ghan 2015","BGha15",,,,"06/11/2015","day","06/11/2015",,,"AK","Ghangaan",,,,,"06/11/2015",,,,,,,,,,,
"762","Baby Goose 2021","BBGoo21","Baby CrazeyEyes 2021",,,"01/01/2021","year","11/11/2021",,,"CR","Goose",,,,,"30/11/2021",,,,,,,,,,"NO",
"664","Baby Guat 2020","BGua20",,,,"02/12/2020","day","02/12/2020",,,"NH","Guatemala",,,,,"02/12/2021",,,,,,,,,,,"Found dead, carried by Guat."
"746","Baby Guat 2021","BGua21",,"M",,"02/11/2021","day","02/11/2021",,,"NH","Guatemala",,,,,"03/11/2021",,,,,,,,,,"NO","Name conflict with SMA & Smachy.two observers found the baby after she let go and observed the sex"
"424","Baby Gugu 2015","BGug15",,,,"16/11/2015","day","16/11/2015",,,"AK","Gugu",,,,,"02/01/2016",,,,,,,,,,,"no body- prob dead. Gugu badly injured"
"519","Baby Gugu 2017","BGug17",,"M",,"31/10/2017","day","31/10/2017",,,"AK","Gugu",,"11/01/2018",,,"11/01/2018",,,,,,,,,,,"Presumed dead but no body"
"623","Baby Gugu 2019","BGug19",,"M",,"09/11/2019","day","09/11/2019",,,"AK","Gugu",,"04/03/2020",,,"04/03/2020",,,,,,,,,,,"Sexed by only 2 observers"
"141","Baby Hak 2011","BHak11",,"M",,"22/11/2011","day","22/11/2011",,,"BD","Hakie",,"05/12/2011",,,"05/12/2011",,,,,,,,,,,"Presumed dead"
"251","Baby Ham 2013","BHam13",,"F",,"03/10/2013","day","03/10/2013",,,"AK","Hamba",,,,,"10/11/2013",,,,,,,,,,,"Found dead on 10/11/2013"
"612","Baby Heer 2019","BHee19",,"M",,"28/10/2019","day","28/10/2019",,,"BD","Heerlik",,"28/01/2020",,,"28/01/2020",,,,,,,,,,,"Dead, carried by mother. Body recovered for brain extraction."
"429","Baby Idwa 2015","BIdw15",,,,"18/11/2015","day","18/11/2015",,,"AK","Idwala",,,,,"05/01/2016",,,,,,,,,,,"no body - presumed dead"
"407","Baby Isil 2015","BIsi15",,,,"05/11/2015","day","05/11/2015",,,"AK","Isilonda",,,,,"04/01/2016",,,,,,,,,,,"no body found but presumed dead."
"304","Baby Jenn 2014","BJen14",,,,"20/10/2014","day","20/10/2014",,,"LT","Jenny",,,,,"23/02/2015",,,,,,,,,,,"presumed dead"
"326","Baby Jink 2014","BJin14",,,,"03/11/2014","day","03/11/2014",,,"NH","Jinka",,,,,"03/11/2014",,,,,,,,,,,"Baby Found dead"
"226","Baby Kai 2012","BKai12",,,,"02/07/1905","day","01/11/2012",,,"BD","Kaiki",,"15/11/2012","InBetweeners",,"15/11/2012",,,,,,,,,,,"Presumably was in new split group with mother"
"525","Baby Kaya 2017","BKay17",,"M",,"04/11/2017","day","04/11/2017",,,"LT","Kaya",,"21/02/2018","LTsplit","21/02/2018","03/03/2018",,,,,,,,,,,"LTSplit not followed"
"785","Baby Kodiak 2020","Bkod20",,,,"01/01/2020","year","16/04/2021",,,"CR","Kodiak",,,,,"14/08/2021",,,,,,,,,,,
"224","Baby Lau 2012","BLau12",,,,"29/10/2012","day","29/10/2012",,,"NH","Lausanne",,,,,"12/11/2012",,,,,,,,,,,"Presumed dead"
"584","Baby Lima 2018","BLim18",,"F",,"29/11/2018","day","29/11/2018",,,"NH","Lima",,,,,"18/03/2019",,,,,,,,,,,"seen dead on the 18/03/19"
"606","Baby Lima 2019","BLim19",,"F",,"22/10/2019","day","22/10/2019",,,"NH","Lima",,,,,"26/10/2019",,,,,,,,,,,"died on the weekend of November 3rd"
"500","Baby Lionel 2017","BLio17",,,,"01/01/2017","year","13/10/2017",,,"CR","Lionel",,,,,"17/11/2017",,,,,,,,,,,"Presumed dead"
"487","Baby Little Blind 2017","BLBl17",,,,"03/10/2017","day","03/10/2017",,,"BD","Little Blind",,,,,"06/10/2017",,,,,,,,,,,"Disappeared on the 06/10/2017"
"536","Baby Mackenzie 2017","BMac17","Baby Schnauzli 2017",,,"01/01/2017","year","14/02/2018",,,"CR","Mackenzie",,,,,"07/04/2018",,,,,,,,,,,"Fate unclear"
"416","Baby Mamo 2015","BMam15",,,,"11/11/2015","day","11/11/2015",,,"AK","Mamoobi",,,,,"22/02/2016",,,,,,,,,,,"Presumed dead, approximate date"
"604","Baby Mara 2019","BMar19",,"M",,"21/10/2019","day","21/10/2019",,,"KB","Mara",,"24/10/2019",,,"24/10/2019",,,,,,,,,,,"Dead between the 22th of October and the 24th of october, 2 observers sexed him"
"309","Baby Mielies 2014","BMie14",,,,"27/10/2014","day","27/10/2014",,,"BD","Mielies",,,,,"03/11/2014",,,,,,,,,,,"Presumed dead"
"534","Baby Mielies 2017","BMie17",,,,"27/12/2017","day","27/12/2017",,,"BD","Mielies",,,,,"15/01/2018",,,,,,,,,,,
"615","Baby Mielies 2019","BMie19",,,,"31/10/2019","day","31/10/2019",,,"BD","Mielies",,,,,"03/11/2019",,,,,,,,,,,"died a few days after been born, from beginning looking rather weak and not suckling enough"
"161","Baby Moo 2011","BMoo11",,,,"23/01/2012","day","23/01/2012",,,"BD","Mooi",,,,,"06/02/2012",,,,,,,,,,,"Presumed dead"
"298","Baby Nala 2014","BNal14",,,,"18/10/2014","day","18/10/2014",,,"LT","Nala",,,,,"31/01/2015",,,,,,,,,,,"Presumed dead"
"727","Baby Ndaw 2021","BNda21",,,,"18/11/2021","day","18/11/2021",,,"AK","Ndawonya",,,,,"20/11/2021",,,,,,,,,,"NO","Presume dead, the baby was seen for two days alive"
"412","Baby Ness 2015","BNes15",,"F",,"09/11/2015","day","09/11/2015",,,"KB","Nessie",,,,,"29/01/2016",,,,,,,,,,,"not brand new on birthdate, presumed dead, no body"
"609","Baby Nessie 2019","BNes19",,"M",,"24/10/2019","day","24/10/2019",,,"KB","Nessie",,"24/10/2019",,,"24/10/2019",,,,,,,,,,,"Born dead. One observer said it's a male"
"334","Baby Niese 2014","BNie14",,"M",,"11/11/2014","day","11/11/2014",,,"BD","Niese",,"26/12/2014",,,"26/12/2014",,,,,,,,,,,"Presumed dead"
"418","Baby Nkos 2015","BNko15",,,,"12/11/2015","day","12/11/2015",,,"AK","Nkosikasi",,,,,"07/03/2016",,,,,,,,,,,"Presumed dead, approximate date"
"485","Baby Numbies 2017","BNum17",,,,"25/09/2017","day","25/09/2017",,,"BD","Numbies",,,,,"09/10/2017",,,,,,,,,,,"presumed dead, no body found"
"600","Baby Numbies 2019 ","BNum19",,,,"03/10/2019","day","03/10/2019",,,"BD","Numbies",,,,,"03/10/2019",,,,,,,,,,,"Born dead and carried by the mother for 1 h"
"572","Baby Nurks 2018","BNur18",,"F",,"14/11/2018","day","14/11/2018",,,"BD","Nurks",,,,,"04/02/2019",,,,,,,,,,,"Dead on the 4th of February. Nurks was still carrying it in the morning. There has been a big storm the previous night"
"592","Baby Nyanga 2018","BNya18",,,,"24/12/2018","day","24/12/2018",,,"AK","Nyanga",,,,,"24/12/2018",,,,,,,,,,,"probably born the day before. Was dead when seen. Nyanga carried the dead baby around the whole day. Was not seen anymore on the 27th"
"783","Baby Nyanga 2020","BNya20",,,,"21/11/2020","day","21/11/2020",,,"AK","Nyanga",,,,,"16/01/2021",,,,,,,,,,,
"447","Baby Oahu 2015","BOah15",,,,"01/01/2015","year","17/12/2015",,,"CR","Oahu",,,,,"14/01/2016",,,,,,,,,,,"Born 2015, presumed dead unclear if body found "
"496","Baby Oahu 2017","BOah17",,,,"10/10/2017","day","10/10/2017",,,"CR","Oahu",,,,,"10/10/2017",,,,,,,,,,,"Was born dead and the mother was carring the body"
"743","Baby Oerw 2021","BOer21",,"M",,"01/12/2021","month","06/12/2021",,,"BD","Oerwoud",,,,,"12/12/2021",,,,,,,,,,"NO","Born very smal, was not clinging on the mother and not suckling"
"697","Baby Ouli 2021","BOul21",,"M",,"09/10/2021","day","09/10/2021",,,"BD","Oulik",,,,,"09/10/2021",,,,,,,,,,"No","Born dead, was still pink"
"499","Baby Pann 2017","BPan17",,"M",,"12/10/2017","day","12/10/2017",,,"BD","Pannekoekie",,"21/12/2017",,,"21/12/2017",,,,,,,,,,,"Died on 21/12/2017, seen with injuries on leg and died shortly afterwards"
"327","Baby Pannekoekie 2014","BPan14",,,,"03/11/2014","day","03/11/2014",,,"BD","Pannekoekie",,,,,"11/12/2014",,,,,,,,,,,"Presumed dead"
"618","Baby Pannekoekie 2019","BPan19",,,,"01/01/2019","year","04/11/2019",,,"BD","Pannekoekie",,,,,"05/11/2019",,,,,,,,,,,
"444","Baby Pearl 2015","BPear15",,,,"03/12/2015","day","03/12/2015",,,"KB","Pearl",,,"KBSplit",,"10/12/2015",,,,,,,,,,,"Mother left group with KB split, After the split the is no records of the baby"
"611","Baby Potjie 2019 ","BPot19",,"F",,"25/10/2019","day","25/10/2019",,,"BD","Potjie",,,,,"29/10/2019",,,,,,,,,,,"found hanging on the tree"
"695","Baby Pret 2021","BPre21",,,,"01/10/2021","month","05/10/2021",,,"NH","Pretoria",,,,,"05/10/2021",,,,,,,,,,,"found dead and last seen on the 2021/10/05"
"620","Baby Pretoria 2019","BPre19",,"F",,"06/11/2019","day","06/11/2019",,,"NH","Pretoria",,,,,"06/11/2019",,,,,,,,,,,"not seen after"
"607","Baby Puolka 2019","BPuo19",,,,"22/10/2019","day","22/10/2019",,,"BD","Puolka",,,,,"23/10/2019",,,,,,,,,,,"Born small and weak. It died the day after. Mother carried it for less than a day."
"603","Baby Redelik 2019","BRed19",,"M",,"19/10/2019","day","19/10/2019",,,"BD","Redelik",,"19/10/2019",,,"19/10/2019",,,,,,,,,,,"Born dead, very immature.Not carried by the mother"
"654","Baby Renn 2020","BRen20",,"M",,"22/11/2020","day","23/11/2020",,,"NH","Rennes",,,,,"29/12/2020",,,,,,,,,,,"Dead"
"608","Baby Reva 2019","BRev19",,"M",,"23/10/2019","day","23/10/2019",,,"NH","Reva",,"26/10/2019",,,"26/10/2019",,,,,,,,,,,
"636","Baby Rosl 2020","BRos20",,"F",,"03/11/2020","day","03/11/2020",,,"NH","Roslin",,,,,"13/12/2020",,,,,,,,,,,"Born in the night from the 2nd to the 3rd of November 2020. On the 10 Dec 2020 we found Rosl with her baby half attached. It was still alive but probably paralyzed. "
"502","Baby Roxanne 2017","BRox17",,"M",,"16/10/2017","day","16/10/2017",,,"LT","Roxanne",,"19/02/2018",,,"19/02/2018",,,,,,,,,,,"Not clear if baby joined split with mother or disappeared few days before"
"523","Baby Ruby 2017","BRub17",,,,"03/11/2017","day","03/11/2017",,,"LT","Ruby",,,,,"17/12/2017",,,,,,,,,,,"Dead, unclear if body found"
"474","Baby Siele 2016","BSie16",,,,"30/11/2016","day","30/11/2016",,,"BD","Siele",,,,,"01/01/2017",,,,,,,,,,,"Died start 2017, body not found"
"409","Baby Snortjie 2015","BSno15",,,,"06/11/2015","day","06/11/2015",,,"BD","Snortjie",,,,,"06/11/2015",,,,,,,,,,,"Presumed dead"
"296","Baby Suzy 2014","BSuz14",,,,"11/10/2014","day","11/10/2014",,,"LT","Suzy",,,,,"25/02/2015",,,,,,,,,,,"Presumed dead"
"208","Baby Tip 2012","BTip12",,,,"09/10/2012","day","09/10/2012",,,"BD","Tipies",,"13/11/2012","InBetweeners",,"13/11/2012",,,,,,,,,,,"Presumably was in new split group with mother"
"438","Baby Tonga 2015","BTon15",,"M",,"27/11/2015","day","27/11/2015",,,"CR","Tonga",,"27/12/2015",,,"27/12/2015",,,,,,,,,,,"Born 2015, presumed dead unclear if body found "
"402","Baby Troi 2015","BTro15",,"M","33","22/10/2015","day","22/10/2015",,,"NH","Troia",,"11/12/2015",,,"11/12/2015",,,,,,,,,,,"seen with head injury 19/11/15, presumed dead"
"440","Baby Umnak 2015","BUmn15",,"M",,"28/11/2015","day","28/11/2015",,,"CR","Umnak",,"13/01/2016",,,"13/01/2016",,,,,,,,,,,"Born 2015, presumed dead unclear if body found "
"217","Baby Upp 2012","BUpp12",,"M",,"19/10/2012","day","19/10/2012",,,"NH","Uppsala",,"03/11/2012",,,"03/11/2012",,,,,,,,,,,"Presumed dead, no body"
"312","Baby Vict 2014","BVic14",,"M",,"28/10/2014","day","28/10/2014",,,"LT","Victoria",,"16/01/2015",,,"16/01/2015",,,,,,,,,,,"Presumed dead"
"261","Baby Wietnie 2013","BWie13",,"F",,"12/11/2013","day","12/11/2013",,,"BD","Wietnie",,,,,"12/11/2013",,,,,,,,,,,"Baby found dead, genetic sample taken"
"593","Baby Xalapa 2018","BXal18",,,,"21/01/2019","day","21/01/2019",,,"NH","Xalapa",,,,,"21/01/2019",,,,,,,,,,,"Born dead and carried by the mom during 2 days"
"614","Baby Xalapa 2019","BXal19",,,,"30/10/2019","day","30/10/2019",,,"NH","Xalapa",,,,,"30/10/2019",,,,,,,,,,,"Born dead, immature. Not carried by the mother"
"610","Baby Xian 2019","BXia19",,,,"24/10/2019","day","24/10/2019",,,"NH","Xian",,,,,"26/10/2019",,,,,,,,,,,"died on the weekend of November 3rd"
"784","Baby Yalu 2020","Byalu",,,,"01/01/2020","year","01/12/2020",,,"KB","Yalu",,,,,"15/01/2021",,,,,,,,,,,
"295","Baby Yaou 2014","BYao14",,,,"09/10/2014","day","09/10/2014",,,"NH","Yaounde",,,,,"17/01/2015",,,,,,,,,,,"Presumed dead"
"400","Baby Zeia 2015","BZei15",,,,"15/10/2015","day","15/10/2015",,,"KB","Zeia",,,,,"03/11/2015",,,,,,,,,,,"already dead when last seen (carried >/=1 day)"
"761","Baby Zuni  2021","BBFZuni21","Baby Fleshy 2021","M",,"01/01/2021","year","11/11/2021",,,"CR","Zuni",,,,,"16/04/2022",,,,,,,,,,"NO",
"308","BabyTere (F10) 2014","BF1014",,,,"22/10/2014","day","22/10/2014",,,"LT","Tere (F10)",,,,,"20/02/2015",,,,,,,,,,,"Presumed dead"
"763","Bahamas","Baha",,"F",,"01/01/2021","year","27/11/2021",,"CR","CR","Bali",,,,,,,,,,,,,,,"Yes",
"538","Bali","Bali",,"F",,,,"09/04/2018",,,"CR",,,,,,"19/09/2024",,,,,,,,,,"No","seen on last day CR followed 2018/07/20"
"126","Bamako","Bam",,"M",,"01/11/2011","day","01/11/2011",,,"NH","Bogota",,"21/02/2013",,,"21/02/2013",,,,,,,,,,,
