"","immigrant_code","group","grooming_rate","in_grooming_rate","out_grooming_rate","in_degree_normalized","out_degree_normalized","total_degree_normalized","eigenvector_centrality","total_grooming_days","in_grooming_days","out_grooming_days","days_observed","median_group_size","X","Mother","BirthGp","DOB","ImmigrationGp1","DateImmigration1","LastSeen1","Tenure","third_birthday","mother_present_all_3_years","mother_days_present","Momcode","mom_present_birth","found_days_birth","mother_avg_elo","ImmigBirthday1","IsPresentOnBirthday","HasConflictsAfterImmig","ConflictCountAfterImmig","elo_one_year_all","elo_one_year_male_male","elo_rating_date_one_year_all","elo_rating_date_one_year_male_male","n_conflicts_one_year_all","n_conflicts_one_year_male_male","elo_end_tenure_all","elo_end_tenure_male_male","elo_rating_date_end_tenure_all","elo_rating_date_end_tenure_male_male","n_conflicts_end_tenure_all","n_conflicts_end_tenure_male_male","immigration_birthday","days_diff_one_year_all","days_diff_one_year_male_male","days_diff_end_tenure_all","days_diff_end_tenure_male_male"
"11","pik_2010","BD",0.5,0.5,0.153061224489796,0.485714285714286,0.171428571428571,0.485714285714286,0.722589929252564,49,49,15,98,36,11,NA,NA,NA,"BD","2010-11-09","2012-09-21",682,NA,NA,NA,NA,FALSE,0,NA,"2011-11-09",TRUE,TRUE,21,0.853,1,"2011-08-31","2011-08-31",48,21,0.543,0.399,"2012-08-30","2012-08-30",72,41,"2011-11-09",70,70,22,22
"12","sko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,"BD","2010-11-09","2010-12-07",28,NA,NA,NA,NA,FALSE,0,NA,"2011-11-09",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2011-11-09",NA,NA,NA,NA
"13","kie","AK",0.166666666666667,0.0833333333333333,0.166666666666667,0,0.0217391304347826,0.0217391304347826,0,2,1,2,12,47,13,"Kaiki","BD","2010-11-23","AK","2015-07-20","2015-12-24",157,"2013-11-23",TRUE,1097,"kaik",TRUE,1097,0.105,"2016-07-19",FALSE,FALSE,0,0.321,NA,"2015-08-21",NA,1,0,0.321,NA,"2015-08-21",NA,1,0,"2016-07-19",333,NA,125,NA
"14","dwe","AK",0,0,0,0,0,0,0,0,0,0,4,39,14,"Dagga","BD","2010-01-01","AK","2016-01-26","2016-03-23",57,"2013-01-01",FALSE,636,"dagg",TRUE,636,NA,"2017-01-25",FALSE,FALSE,0,0.281,NA,"2016-01-29",NA,2,0,0.281,NA,"2016-01-29",NA,2,0,"2017-01-25",362,NA,54,NA
"15","wol","AK",0.16,0.0866666666666667,0.133333333333333,0.282051282051282,0.435897435897436,0.512820512820513,0.256868666360169,24,13,20,150,40,15,"Wietnie","BD","2010-01-01","AK","2015-07-20","2018-05-24",1039,"2013-01-01",TRUE,1097,"wiet",TRUE,1097,NA,"2016-07-19",TRUE,TRUE,3,0.765,0.743,"2016-07-02","2016-07-02",6,3,0.49,0,"2018-05-03","2018-05-03",37,21,"2016-07-19",17,17,21,21
"16","gig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,"BD","2010-12-07","2010-12-07",0,NA,NA,NA,NA,FALSE,0,NA,"2011-12-07",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2011-12-07",NA,NA,NA,NA
"17","mfo","LT",0.142857142857143,0.114285714285714,0.0857142857142857,0.0731707317073171,0.024390243902439,0.0731707317073171,0.144779730340922,5,4,3,35,42,17,"Mamoobi","AK","2007-01-01","LT","2012-05-16","2014-10-21",888,"2010-01-01",TRUE,1097,"mamo",TRUE,1097,NA,"2013-05-16",TRUE,FALSE,0,0.515,NA,"2013-02-14",NA,2,0,0.234,0.028,"2014-05-31","2014-05-31",6,1,"2013-05-16",91,NA,143,143
"18","qui",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,"NH",NA,"LT","2011-11-19","2015-11-12",1454,NA,NA,NA,NA,FALSE,0,NA,"2012-11-18",FALSE,FALSE,0,NA,NA,NA,NA,0,0,0.49,0.907,"2015-11-05","2015-11-05",2,2,"2012-11-18",NA,NA,7,7
"19","oom","BD",0.300884955752212,0.300884955752212,0.0530973451327434,0.351351351351351,0.0810810810810811,0.351351351351351,0.234567765739004,34,34,6,113,38,19,NA,NA,NA,"BD","2010-12-24","2012-11-19",696,NA,NA,NA,NA,FALSE,0,NA,"2011-12-24",TRUE,TRUE,27,0.408,0,"2011-12-16","2011-12-06",53,27,0.405,0.283,"2012-09-17","2012-09-17",84,48,"2011-12-24",8,18,63,63
"20","bry","LT",0,0,0,0,0,0,0,0,0,0,13,28,20,NA,NA,NA,"LT","2011-01-16","2012-05-01",471,NA,NA,NA,NA,FALSE,0,NA,"2012-01-16",TRUE,TRUE,11,1,1,"2011-09-30","2011-09-30",13,11,1,1,"2011-09-30","2011-09-30",13,11,"2012-01-16",108,108,214,214
"21","oku","BD",0.372549019607843,0.343137254901961,0.191176470588235,0.692307692307692,0.519230769230769,0.730769230769231,0.328697604304307,76,70,39,204,53,21,NA,"AK","2007-01-01","BD","2013-02-19","2014-09-08",566,"2010-01-01",NA,NA,NA,FALSE,0,NA,"2014-02-19",TRUE,TRUE,11,0.349,0,"2014-02-03","2013-11-13",17,11,0.448,0.401,"2014-08-23","2014-08-23",23,17,"2014-02-19",16,98,16,16
"22","wil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,"LT","2011-01-19","2012-02-14",391,NA,NA,NA,NA,FALSE,0,NA,"2012-01-19",TRUE,FALSE,0,NA,NA,NA,NA,0,0,0.694,0.709,"2012-01-28","2012-01-28",1,1,"2012-01-19",NA,NA,17,17
"23","jam","LT",0.0588235294117647,0.0588235294117647,0,0.0333333333333333,0,0.0333333333333333,0.0466341295423234,1,1,0,17,31,23,NA,NA,NA,"LT","2011-01-28","2012-06-08",497,NA,NA,NA,NA,FALSE,0,NA,"2012-01-28",TRUE,TRUE,11,0.622,0.623,"2012-01-03","2012-01-03",11,11,0.622,0.623,"2012-01-03","2012-01-03",11,11,"2012-01-28",25,25,157,157
"24","don","LT",0.111111111111111,0.111111111111111,0.111111111111111,0,0,0,0,1,1,1,9,45,24,"Dagga","BD","2009-01-01","LT","2015-04-03","2018-11-16",1323,"2012-01-01",FALSE,270,"dagg",TRUE,270,NA,"2016-04-02",TRUE,TRUE,3,0.457,0.2,"2015-06-26","2015-06-26",3,3,0.884,1,"2018-11-10","2018-04-05",27,14,"2016-04-02",281,281,6,225
"25","ert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,"BD",NA,"NH","2012-04-26","2015-12-11",1324,NA,NA,NA,NA,FALSE,0,NA,"2013-04-26",TRUE,FALSE,0,NA,NA,NA,NA,0,0,0.59,0.767,"2015-11-26","2015-11-26",5,4,"2013-04-26",NA,NA,15,15
"26","gro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,"BD",NA,"NH","2012-05-01","2013-01-25",269,NA,NA,NA,NA,FALSE,0,NA,"2013-05-01",FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2013-05-01",NA,NA,NA,NA
"27","ham","AK",0.187772925764192,0.152838427947598,0.0786026200873362,0.27027027027027,0.216216216216216,0.297297297297297,0.122730886694062,43,35,18,229,38,27,NA,"LT","2007-01-01","AK","2013-05-24","2014-05-26",367,"2010-01-01",NA,NA,NA,FALSE,0,NA,"2014-05-24",TRUE,TRUE,8,0.39,0.216,"2014-05-23","2014-05-23",12,8,0.39,0.216,"2014-05-23","2014-05-23",12,8,"2014-05-24",1,1,3,3
"28","rus","BD",0.24113475177305,0.212765957446809,0.113475177304965,0.512820512820513,0.230769230769231,0.538461538461538,0.290287449477216,34,30,16,141,40,28,NA,NA,NA,"BD","2011-05-08","2013-12-16",953,NA,NA,NA,NA,FALSE,0,NA,"2012-05-07",TRUE,TRUE,36,0.539,0.586,"2012-04-24","2012-04-24",62,36,0.941,1,"2013-12-16","2013-12-16",109,67,"2012-05-07",13,13,0,0
"29","elt","AK",0.0204081632653061,0,0.0204081632653061,0,0.0882352941176471,0.0882352941176471,1.70242552296712e-05,3,0,3,147,35,29,NA,"LT","2006-01-01","AK","2012-01-28","2016-01-18",1451,"2009-01-01",NA,NA,NA,FALSE,0,NA,"2013-01-27",TRUE,TRUE,9,0.106,0,"2012-11-26","2012-11-26",9,9,0.797,1,"2015-12-24","2015-10-17",65,40,"2013-01-27",62,62,25,93
"30","har","LT",0,0,0,0,0,0,0,0,0,0,27,35,30,NA,NA,NA,"LT","2011-06-09","2012-08-28",446,NA,NA,NA,NA,FALSE,0,NA,"2012-06-08",TRUE,TRUE,1,0.816,0.819,"2012-06-08","2012-06-08",1,1,0.816,0.819,"2012-06-08","2012-06-08",1,1,"2012-06-08",0,0,81,81
"31","new","LT",0.037037037037037,0.037037037037037,0,0.0285714285714286,0,0.0285714285714286,0.0458055576417566,1,1,0,27,36,31,NA,NA,NA,"LT","2011-07-09","2014-01-25",931,NA,NA,NA,NA,FALSE,0,NA,"2012-07-08",TRUE,TRUE,13,0,0,"2012-06-12","2012-06-12",15,13,0,0,"2013-10-28","2013-10-28",17,14,"2012-07-08",26,26,89,89
"32","the","LT",0.0384615384615385,0.0384615384615385,0,0.0277777777777778,0,0.0277777777777778,0.047494853550078,1,1,0,26,37,32,NA,NA,NA,"LT","2011-08-09","2012-02-09",184,NA,NA,NA,NA,FALSE,0,NA,"2012-08-08",TRUE,TRUE,8,1,1,"2012-06-04","2012-06-04",8,8,0.659,0.66,"2012-01-28","2012-01-28",7,7,"2012-08-08",65,65,12,12
"33","hwa","BD",0.350649350649351,0.277056277056277,0.233766233766234,0.74,0.68,0.86,0.255611316079909,81,64,54,231,51,33,"Hamba","AK","2011-09-16","BD","2016-06-07","2017-12-11",552,"2014-09-16",TRUE,1097,"hamb",TRUE,1097,0.558,"2017-06-07",TRUE,TRUE,25,0.485,0.058,"2017-05-29","2017-05-27",49,25,0.629,0.648,"2017-12-08","2017-12-08",108,71,"2017-06-07",9,11,3,3
"34","vin","BD",0.244525547445255,0.160583941605839,0.138686131386861,0.574074074074074,0.37037037037037,0.648148148148148,0.0963001676419292,67,44,38,274,55,34,"Victoria","LT","2011-10-01","BD","2017-02-13","2018-11-19",644,"2014-10-01",TRUE,1097,"vict",TRUE,1097,0.237,"2018-02-13",TRUE,TRUE,17,0.551,0.339,"2018-02-02","2017-12-18",30,17,0.525,0.3,"2018-11-17","2018-11-17",70,52,"2018-02-13",11,57,2,2
"35","spo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,"Snortjie","BD","2011-10-01","CR","2016-06-23","2018-04-07",653,"2014-10-01",TRUE,1097,"snor",TRUE,1097,0.332,"2017-06-23",TRUE,FALSE,0,NA,NA,NA,NA,0,0,1,1,"2017-09-16","2017-09-16",1,1,"2017-06-23",NA,NA,203,203
"36","nok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,"Numbies","BD","2011-10-26","CR","2016-06-15","2017-01-04",203,"2014-10-26",TRUE,1097,"numb",TRUE,1097,0.272,"2017-06-15",FALSE,TRUE,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,"2017-06-15",NA,NA,NA,NA
"37","lom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,"Lausanne","NH","2011-10-27","5males","2016-07-14","2016-07-14",0,"2014-10-27",FALSE,818,"laus",FALSE,818,0.341,"2017-07-14",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2017-07-14",NA,NA,NA,NA
"38","ogi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,"Oulik","BD","2011-11-02","CR","2016-06-10","2018-07-20",770,"2014-11-02",TRUE,1097,"ouli",TRUE,1097,0.977,"2017-06-10",TRUE,FALSE,0,NA,NA,NA,NA,0,0,0,0,"2017-12-05","2017-12-05",6,6,"2017-06-10",NA,NA,227,227
"39","art","LT",0,0,0,0,0,0,0,0,0,0,7,35,39,NA,NA,NA,"LT","2011-11-03","2012-02-14",103,NA,NA,NA,NA,FALSE,0,NA,"2012-11-02",TRUE,TRUE,1,0.472,0.463,"2012-01-03","2012-01-03",1,1,0.472,0.463,"2012-01-03","2012-01-03",1,1,"2012-11-02",304,304,42,42
"40","nil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,"KB","2011-11-05","2014-11-17",1108,NA,NA,NA,NA,FALSE,0,NA,"2012-11-04",TRUE,FALSE,0,NA,NA,NA,NA,0,0,1,1,"2014-10-28","2014-09-25",9,4,"2012-11-04",NA,NA,20,53
"41","akk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,"Asis","BD","2011-11-07","CR","2016-06-10","2018-07-20",770,"2014-11-07",TRUE,1097,"asis",TRUE,1097,0.637,"2017-06-10",TRUE,FALSE,0,NA,NA,NA,NA,0,0,0.293,0.341,"2017-11-08","2017-11-08",3,3,"2017-06-10",NA,NA,254,254
"42","poe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,"Prinses","BD","2011-11-11","CR","2016-06-15","2018-07-20",765,"2014-11-11",TRUE,1097,"prin",TRUE,1097,0.736,"2017-06-15",TRUE,TRUE,1,NA,NA,NA,NA,1,1,1,1,"2017-12-05","2017-12-05",8,8,"2017-06-15",NA,NA,227,227
"43","jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,"Jakarta","NH","2011-11-20","IF","2016-04-14","2016-10-25",194,"2014-11-20",TRUE,1097,"jaka",TRUE,1097,0.293,"2017-04-14",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2017-04-14",NA,NA,NA,NA
"44","ubu","BD",0.2,0.156521739130435,0.134782608695652,0.56,0.46,0.7,0.133035190305484,46,36,31,230,51,44,"Ulaka","AK","2011-11-21","BD","2016-05-28","2020-06-06",1470,"2014-11-21",FALSE,664,"ulak",FALSE,664,0.733,"2017-05-28",TRUE,TRUE,11,0.311,0.624,"2017-05-22","2017-04-28",17,11,0.77,0.801,"2020-05-09","2020-05-09",140,90,"2017-05-28",6,30,28,28
"45","ulu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,"Uppsala","NH","2011-12-01","5males","2016-07-14","2016-07-14",0,"2014-12-01",TRUE,1097,"upps",TRUE,1097,0.508,"2017-07-14",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2017-07-14",NA,NA,NA,NA
"46","roo","CR",0.346153846153846,0.230769230769231,0.230769230769231,0.17948717948718,0.230769230769231,0.256410256410256,0.902912801424384,18,12,12,52,40,46,"Rissiepit","BD","2011-12-05","CR","2017-05-10","2018-07-20",436,"2014-12-05",TRUE,1097,"riss",TRUE,1097,0.135,"2018-05-10",TRUE,TRUE,1,0.638,0.705,"2017-11-13","2017-11-13",1,1,0.638,0.705,"2017-11-13","2017-11-13",1,1,"2018-05-10",178,178,249,249
"47","neu","BD",0.221428571428571,0.192857142857143,0.0928571428571429,0.310344827586207,0.155172413793103,0.344827586206897,0.14101397156908,31,27,13,140,59,47,NA,"NH","2009-01-01","BD","2014-05-14","2020-12-14",2406,"2012-01-01",NA,NA,NA,FALSE,0,NA,"2015-05-14",TRUE,TRUE,10,0.509,0.708,"2014-12-08","2014-12-08",16,10,1,0.934,"2020-11-16","2020-11-16",290,188,"2015-05-14",157,157,28,28
"48","tor","BD",0.14207650273224,0.092896174863388,0.109289617486339,0.206896551724138,0.241379310344828,0.275862068965517,0.0674045348931382,26,17,20,183,59,48,"Troia","NH","2009-01-01","BD","2014-06-16","2016-02-13",607,"2012-01-01",FALSE,420,"troi",TRUE,420,NA,"2015-06-16",TRUE,TRUE,2,0.325,0.271,"2015-02-19","2014-12-08",6,2,0.502,0.321,"2015-12-11","2015-12-11",12,6,"2015-06-16",117,190,64,64
"49","zur","BD",0.115384615384615,0.0923076923076923,0.0846153846153846,0.189655172413793,0.172413793103448,0.275862068965517,0.115624497625193,15,12,11,130,59,49,"Zara","NH","2009-01-01","BD","2014-06-03","2016-02-15",622,"2012-01-01",FALSE,420,"zara",TRUE,420,NA,"2015-06-03",TRUE,TRUE,5,0.315,0,"2014-12-01","2014-12-01",9,5,0.488,0,"2015-12-08","2015-11-12",24,10,"2015-06-03",184,184,69,95
"50","pue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,"Paris","NH","2011-12-27","5males","2016-07-14","2016-07-14",0,"2014-12-27",TRUE,1097,"pari",TRUE,1097,0.711,"2017-07-14",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2017-07-14",NA,NA,NA,NA
"51","bon","AK",0.00588235294117647,0.00588235294117647,0,0.0294117647058824,0,0.0294117647058824,0.000236167205002356,1,1,0,170,35,51,NA,NA,NA,"AK","2012-01-28","2013-04-25",453,NA,NA,NA,NA,FALSE,0,NA,"2013-01-27",TRUE,TRUE,11,0.341,0.484,"2013-01-07","2013-01-07",13,11,0.361,0.258,"2013-04-22","2013-04-22",17,13,"2013-01-27",20,20,3,3
"52","gov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,"Gagasa","AK","2008-01-01","Intaka","2014-01-31","2014-06-13",133,"2011-01-01",TRUE,1097,"gaga",TRUE,1097,NA,"2015-01-31",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2015-01-31",NA,NA,NA,NA
"53","mna","LT",0.291666666666667,0.208333333333333,0.125,0.186046511627907,0.116279069767442,0.27906976744186,0.581155100846262,14,10,6,48,44,53,"Mamoobi","AK","2009-01-01","LT","2015-01-19","2018-06-07",1235,"2012-01-01",TRUE,1096,"mamo",TRUE,1096,NA,"2016-01-19",TRUE,TRUE,4,0.705,1,"2015-11-14","2015-11-14",4,4,0.502,0,"2018-04-05","2018-04-05",26,17,"2016-01-19",66,66,63,63
"54","vol","LT",0,0,0,0,0,0,0,0,0,0,1,38,54,NA,NA,NA,"LT","2012-02-03","2014-06-03",851,NA,NA,NA,NA,FALSE,0,NA,"2013-02-02",TRUE,TRUE,1,0.457,0.428,"2012-06-12","2012-06-12",1,1,0.424,0.562,"2013-10-28","2013-10-28",2,2,"2013-02-02",235,235,218,218
"55","ahe","AK",0.211538461538462,0.173076923076923,0.192307692307692,0.36,0.52,0.56,0.231725936664116,22,18,20,104,26,55,NA,NA,NA,"AK","2010-12-18","2012-02-24",433,NA,NA,NA,NA,FALSE,0,NA,"2011-12-18",TRUE,TRUE,5,0.981,1,"2011-12-15","2011-12-15",24,5,0.981,1,"2011-12-15","2011-12-15",24,5,"2011-12-18",3,3,71,71
"56","auc","NH",0.0263157894736842,0.0263157894736842,0,0.0294117647058824,0,0.0294117647058824,0.022189693107296,1,1,0,38,35,56,NA,NA,NA,"NH","2012-02-27","2014-09-25",941,NA,NA,NA,NA,FALSE,0,NA,"2013-02-26",TRUE,TRUE,2,0.336,0,"2012-05-29","2012-05-29",2,2,0.599,1,"2014-07-18","2014-06-21",11,9,"2013-02-26",273,273,69,96
"57","sty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"KB","2009-01-01","NH","2014-05-24","2016-03-29",675,"2012-01-01",NA,NA,NA,FALSE,0,NA,"2015-05-24",TRUE,FALSE,0,NA,NA,NA,NA,0,0,0.528,0.56,"2015-12-31","2015-12-31",5,5,"2015-05-24",NA,NA,89,89
"58","twe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,"KB","2010-12-01","NH","2014-05-24","2019-09-06",1931,"2013-12-01",NA,NA,NA,FALSE,0,NA,"2015-05-24",TRUE,FALSE,0,NA,NA,NA,NA,0,0,0.846,1,"2019-09-04","2019-08-30",148,50,"2015-05-24",NA,NA,2,7
"59","che","NH",0.374269005847953,0.333333333333333,0.274853801169591,0.547619047619048,0.30952380952381,0.571428571428571,0.695922809261658,64,57,47,171,43,59,NA,NA,NA,"NH","2012-04-28","2014-05-26",758,NA,NA,NA,NA,FALSE,0,NA,"2013-04-28",TRUE,TRUE,27,0.582,0,"2013-04-22","2013-04-22",38,27,0.741,0.427,"2014-05-24","2014-05-24",51,33,"2013-04-28",6,6,2,2
"60","gel","LT",0,0,0,0,0,0,0,0,0,0,4,40,60,"Gagasa","AK","2007-01-01","LT","2012-06-04","2013-10-28",511,"2010-01-01",TRUE,1097,"gaga",TRUE,1097,NA,"2013-06-04",TRUE,TRUE,2,0.266,0.418,"2012-09-29","2012-09-29",3,2,0.216,0.085,"2013-10-28","2013-10-28",8,5,"2013-06-04",248,248,0,0
"61","sha","LT",0,0,0,0,0,0,0,0,0,0,4,40,61,NA,NA,NA,"LT","2012-06-08","2015-02-23",990,NA,NA,NA,NA,FALSE,0,NA,"2013-06-08",TRUE,TRUE,1,0.705,0.862,"2012-09-29","2012-09-29",1,1,0.696,0.131,"2014-09-17","2014-07-28",18,4,"2013-06-08",252,252,159,210
"62","edw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,"LT","2012-06-12","2014-11-12",883,NA,NA,NA,NA,FALSE,0,NA,"2013-06-12",TRUE,FALSE,0,NA,NA,NA,NA,0,0,0.996,1,"2014-08-29","2014-07-28",11,5,"2013-06-12",NA,NA,75,107
"63","gar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,"Geneva","NH","2012-10-11","5males","2016-07-14","2016-07-14",0,"2015-10-11",TRUE,1096,"gene",TRUE,1096,0.953,"2017-07-14",NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,"2017-07-14",NA,NA,NA,NA
"64","nyo","BD",0.438247011952191,0.235059760956175,0.354581673306773,0.566666666666667,0.583333333333333,0.7,0.251778971885892,110,59,89,251,61,64,"Nkosikasi","AK","2012-10-22","BD","2017-05-16","2018-11-19",552,"2015-10-22",FALSE,0,NA,FALSE,0,NA,"2018-05-16",TRUE,TRUE,26,0.394,0.208,"2018-04-06","2018-04-06",41,26,0.51,0.306,"2018-10-25","2018-10-25",66,49,"2018-05-16",40,40,25,25
