"","Code","Mother","BirthGp","DOB","ImmigrationGp1","DateImmigration1","LastSeen1","Tenure","third_birthday","mother_present_all_3_years","mother_days_present","Momcode","mom_present_birth","found_days_birth","mother_avg_elo","ImmigBirthday1","IsPresentOnBirthday","HasConflictsAfterImmig","ConflictCountAfterImmig","elo_one_year_all","elo_one_year_male_male","elo_rating_date_one_year_all","elo_rating_date_one_year_male_male","n_conflicts_one_year_all","n_conflicts_one_year_male_male","elo_end_tenure_all","elo_end_tenure_male_male","elo_rating_date_end_tenure_all","elo_rating_date_end_tenure_male_male","n_conflicts_end_tenure_all","n_conflicts_end_tenure_male_male","immigration_birthday","days_diff_one_year_all","days_diff_one_year_male_male","days_diff_end_tenure_all","days_diff_end_tenure_male_male"
"15","wol","Wietnie","BD",2010-01-01,"AK",2015-07-20,2018-05-24,1039,2013-01-01,TRUE,1097,"wiet",TRUE,1097,NA,2016-07-19,TRUE,TRUE,3,0.765,0.743,2016-07-02,2016-07-02,6,3,0.49,0,2018-05-03,2018-05-03,37,21,2016-07-19,17,17,21,21
"16","gig",NA,NA,NA,"BD",2010-12-07,2010-12-07,0,NA,NA,NA,NA,FALSE,0,NA,2011-12-07,FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2011-12-07,NA,NA,NA,NA
"17","mfo","Mamoobi","AK",2007-01-01,"LT",2012-05-16,2014-10-21,888,2010-01-01,TRUE,1097,"mamo",TRUE,1097,NA,2013-05-16,TRUE,FALSE,0,0.515,NA,2013-02-14,NA,2,0,0.234,0.028,2014-05-31,2014-05-31,6,1,2013-05-16,91,NA,143,143
"18","qui",NA,"NH",NA,"LT",2011-11-19,2015-11-12,1454,NA,NA,NA,NA,FALSE,0,NA,2012-11-18,FALSE,FALSE,0,NA,NA,NA,NA,0,0,0.49,0.907,2015-11-05,2015-11-05,2,2,2012-11-18,NA,NA,7,7
"19","oom",NA,NA,NA,"BD",2010-12-24,2012-11-19,696,NA,NA,NA,NA,FALSE,0,NA,2011-12-24,TRUE,TRUE,27,0.408,0,2011-12-16,2011-12-06,53,27,0.405,0.283,2012-09-17,2012-09-17,84,48,2011-12-24,8,18,63,63
"20","bry",NA,NA,NA,"LT",2011-01-16,2012-05-01,471,NA,NA,NA,NA,FALSE,0,NA,2012-01-16,TRUE,TRUE,11,1,1,2011-09-30,2011-09-30,13,11,1,1,2011-09-30,2011-09-30,13,11,2012-01-16,108,108,214,214
"21","oku",NA,"AK",2007-01-01,"BD",2013-02-19,2014-09-08,566,2010-01-01,NA,NA,NA,FALSE,0,NA,2014-02-19,TRUE,TRUE,11,0.349,0,2014-02-03,2013-11-13,17,11,0.448,0.401,2014-08-23,2014-08-23,23,17,2014-02-19,16,98,16,16
"22","wil",NA,NA,NA,"LT",2011-01-19,2012-02-14,391,NA,NA,NA,NA,FALSE,0,NA,2012-01-19,TRUE,FALSE,0,NA,NA,NA,NA,0,0,0.694,0.709,2012-01-28,2012-01-28,1,1,2012-01-19,NA,NA,17,17
"23","jam",NA,NA,NA,"LT",2011-01-28,2012-06-08,497,NA,NA,NA,NA,FALSE,0,NA,2012-01-28,TRUE,TRUE,11,0.622,0.623,2012-01-03,2012-01-03,11,11,0.622,0.623,2012-01-03,2012-01-03,11,11,2012-01-28,25,25,157,157
"24","don","Dagga","BD",2009-01-01,"LT",2015-04-03,2018-11-16,1323,2012-01-01,FALSE,270,"dagg",TRUE,270,NA,2016-04-02,TRUE,TRUE,3,0.457,0.2,2015-06-26,2015-06-26,3,3,0.884,1,2018-11-10,2018-04-05,27,14,2016-04-02,281,281,6,225
"25","ert",NA,"BD",NA,"NH",2012-04-26,2015-12-11,1324,NA,NA,NA,NA,FALSE,0,NA,2013-04-26,TRUE,FALSE,0,NA,NA,NA,NA,0,0,0.59,0.767,2015-11-26,2015-11-26,5,4,2013-04-26,NA,NA,15,15
"26","gro",NA,"BD",NA,"NH",2012-05-01,2013-01-25,269,NA,NA,NA,NA,FALSE,0,NA,2013-05-01,FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2013-05-01,NA,NA,NA,NA
"27","ham",NA,"LT",2007-01-01,"AK",2013-05-24,2014-05-26,367,2010-01-01,NA,NA,NA,FALSE,0,NA,2014-05-24,TRUE,TRUE,8,0.39,0.216,2014-05-23,2014-05-23,12,8,0.39,0.216,2014-05-23,2014-05-23,12,8,2014-05-24,1,1,3,3
"28","rus",NA,NA,NA,"BD",2011-05-08,2013-12-16,953,NA,NA,NA,NA,FALSE,0,NA,2012-05-07,TRUE,TRUE,36,0.539,0.586,2012-04-24,2012-04-24,62,36,0.941,1,2013-12-16,2013-12-16,109,67,2012-05-07,13,13,0,0
"29","elt",NA,"LT",2006-01-01,"AK",2012-01-28,2016-01-18,1451,2009-01-01,NA,NA,NA,FALSE,0,NA,2013-01-27,TRUE,TRUE,9,0.106,0,2012-11-26,2012-11-26,9,9,0.797,1,2015-12-24,2015-10-17,65,40,2013-01-27,62,62,25,93
"30","har",NA,NA,NA,"LT",2011-06-09,2012-08-28,446,NA,NA,NA,NA,FALSE,0,NA,2012-06-08,TRUE,TRUE,1,0.816,0.819,2012-06-08,2012-06-08,1,1,0.816,0.819,2012-06-08,2012-06-08,1,1,2012-06-08,0,0,81,81
"31","new",NA,NA,NA,"LT",2011-07-09,2014-01-25,931,NA,NA,NA,NA,FALSE,0,NA,2012-07-08,TRUE,TRUE,13,0,0,2012-06-12,2012-06-12,15,13,0,0,2013-10-28,2013-10-28,17,14,2012-07-08,26,26,89,89
"32","the",NA,NA,NA,"LT",2011-08-09,2012-02-09,184,NA,NA,NA,NA,FALSE,0,NA,2012-08-08,TRUE,TRUE,8,1,1,2012-06-04,2012-06-04,8,8,0.659,0.66,2012-01-28,2012-01-28,7,7,2012-08-08,65,65,12,12
"33","hwa","Hamba","AK",2011-09-16,"BD",2016-06-07,2017-12-11,552,2014-09-16,TRUE,1097,"hamb",TRUE,1097,0.558,2017-06-07,TRUE,TRUE,25,0.485,0.058,2017-05-29,2017-05-27,49,25,0.629,0.648,2017-12-08,2017-12-08,108,71,2017-06-07,9,11,3,3
"34","vin","Victoria","LT",2011-10-01,"BD",2017-02-13,2018-11-19,644,2014-10-01,TRUE,1097,"vict",TRUE,1097,0.237,2018-02-13,TRUE,TRUE,17,0.551,0.339,2018-02-02,2017-12-18,30,17,0.525,0.3,2018-11-17,2018-11-17,70,52,2018-02-13,11,57,2,2
"35","spo","Snortjie","BD",2011-10-01,"CR",2016-06-23,2018-04-07,653,2014-10-01,TRUE,1097,"snor",TRUE,1097,0.332,2017-06-23,TRUE,FALSE,0,NA,NA,NA,NA,0,0,1,1,2017-09-16,2017-09-16,1,1,2017-06-23,NA,NA,203,203
"36","nok","Numbies","BD",2011-10-26,"CR",2016-06-15,2017-01-04,203,2014-10-26,TRUE,1097,"numb",TRUE,1097,0.272,2017-06-15,FALSE,TRUE,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,2017-06-15,NA,NA,NA,NA
"37","lom","Lausanne","NH",2011-10-27,"5males",2016-07-14,2016-07-14,0,2014-10-27,FALSE,818,"laus",FALSE,818,0.341,2017-07-14,NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2017-07-14,NA,NA,NA,NA
"38","ogi","Oulik","BD",2011-11-02,"CR",2016-06-10,2018-07-20,770,2014-11-02,TRUE,1097,"ouli",TRUE,1097,0.977,2017-06-10,TRUE,FALSE,0,NA,NA,NA,NA,0,0,0,0,2017-12-05,2017-12-05,6,6,2017-06-10,NA,NA,227,227
"39","art",NA,NA,NA,"LT",2011-11-03,2012-02-14,103,NA,NA,NA,NA,FALSE,0,NA,2012-11-02,TRUE,TRUE,1,0.472,0.463,2012-01-03,2012-01-03,1,1,0.472,0.463,2012-01-03,2012-01-03,1,1,2012-11-02,304,304,42,42
"40","nil",NA,NA,NA,"KB",2011-11-05,2014-11-17,1108,NA,NA,NA,NA,FALSE,0,NA,2012-11-04,TRUE,FALSE,0,NA,NA,NA,NA,0,0,1,1,2014-10-28,2014-09-25,9,4,2012-11-04,NA,NA,20,53
"41","akk","Asis","BD",2011-11-07,"CR",2016-06-10,2018-07-20,770,2014-11-07,TRUE,1097,"asis",TRUE,1097,0.637,2017-06-10,TRUE,FALSE,0,NA,NA,NA,NA,0,0,0.293,0.341,2017-11-08,2017-11-08,3,3,2017-06-10,NA,NA,254,254
"42","poe","Prinses","BD",2011-11-11,"CR",2016-06-15,2018-07-20,765,2014-11-11,TRUE,1097,"prin",TRUE,1097,0.736,2017-06-15,TRUE,TRUE,1,NA,NA,NA,NA,1,1,1,1,2017-12-05,2017-12-05,8,8,2017-06-15,NA,NA,227,227
"43","jun","Jakarta","NH",2011-11-20,"IF",2016-04-14,2016-10-25,194,2014-11-20,TRUE,1097,"jaka",TRUE,1097,0.293,2017-04-14,NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2017-04-14,NA,NA,NA,NA
"44","ubu","Ulaka","AK",2011-11-21,"BD",2016-05-28,2020-06-06,1470,2014-11-21,FALSE,664,"ulak",FALSE,664,0.733,2017-05-28,TRUE,TRUE,11,0.311,0.624,2017-05-22,2017-04-28,17,11,0.77,0.801,2020-05-09,2020-05-09,140,90,2017-05-28,6,30,28,28
"45","ulu","Uppsala","NH",2011-12-01,"5males",2016-07-14,2016-07-14,0,2014-12-01,TRUE,1097,"upps",TRUE,1097,0.508,2017-07-14,NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2017-07-14,NA,NA,NA,NA
"46","roo","Rissiepit","BD",2011-12-05,"CR",2017-05-10,2018-07-20,436,2014-12-05,TRUE,1097,"riss",TRUE,1097,0.135,2018-05-10,TRUE,TRUE,1,0.638,0.705,2017-11-13,2017-11-13,1,1,0.638,0.705,2017-11-13,2017-11-13,1,1,2018-05-10,178,178,249,249
"47","neu",NA,"NH",2009-01-01,"BD",2014-05-14,2020-12-14,2406,2012-01-01,NA,NA,NA,FALSE,0,NA,2015-05-14,TRUE,TRUE,10,0.509,0.708,2014-12-08,2014-12-08,16,10,1,0.934,2020-11-16,2020-11-16,290,188,2015-05-14,157,157,28,28
"48","tor","Troia","NH",2009-01-01,"BD",2014-06-16,2016-02-13,607,2012-01-01,FALSE,420,"troi",TRUE,420,NA,2015-06-16,TRUE,TRUE,2,0.325,0.271,2015-02-19,2014-12-08,6,2,0.502,0.321,2015-12-11,2015-12-11,12,6,2015-06-16,117,190,64,64
"49","zur","Zara","NH",2009-01-01,"BD",2014-06-03,2016-02-15,622,2012-01-01,FALSE,420,"zara",TRUE,420,NA,2015-06-03,TRUE,TRUE,5,0.315,0,2014-12-01,2014-12-01,9,5,0.488,0,2015-12-08,2015-11-12,24,10,2015-06-03,184,184,69,95
"50","pue","Paris","NH",2011-12-27,"5males",2016-07-14,2016-07-14,0,2014-12-27,TRUE,1097,"pari",TRUE,1097,0.711,2017-07-14,NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2017-07-14,NA,NA,NA,NA
"51","bon",NA,NA,NA,"AK",2012-01-28,2013-04-25,453,NA,NA,NA,NA,FALSE,0,NA,2013-01-27,TRUE,TRUE,11,0.341,0.484,2013-01-07,2013-01-07,13,11,0.361,0.258,2013-04-22,2013-04-22,17,13,2013-01-27,20,20,3,3
"52","gov","Gagasa","AK",2008-01-01,"Intaka",2014-01-31,2014-06-13,133,2011-01-01,TRUE,1097,"gaga",TRUE,1097,NA,2015-01-31,NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2015-01-31,NA,NA,NA,NA
"53","mna","Mamoobi","AK",2009-01-01,"LT",2015-01-19,2018-06-07,1235,2012-01-01,TRUE,1096,"mamo",TRUE,1096,NA,2016-01-19,TRUE,TRUE,4,0.705,1,2015-11-14,2015-11-14,4,4,0.502,0,2018-04-05,2018-04-05,26,17,2016-01-19,66,66,63,63
"54","vol",NA,NA,NA,"LT",2012-02-03,2014-06-03,851,NA,NA,NA,NA,FALSE,0,NA,2013-02-02,TRUE,TRUE,1,0.457,0.428,2012-06-12,2012-06-12,1,1,0.424,0.562,2013-10-28,2013-10-28,2,2,2013-02-02,235,235,218,218
"55","ahe",NA,NA,NA,"AK",2010-12-18,2012-02-24,433,NA,NA,NA,NA,FALSE,0,NA,2011-12-18,TRUE,TRUE,5,0.981,1,2011-12-15,2011-12-15,24,5,0.981,1,2011-12-15,2011-12-15,24,5,2011-12-18,3,3,71,71
"56","auc",NA,NA,NA,"NH",2012-02-27,2014-09-25,941,NA,NA,NA,NA,FALSE,0,NA,2013-02-26,TRUE,TRUE,2,0.336,0,2012-05-29,2012-05-29,2,2,0.599,1,2014-07-18,2014-06-21,11,9,2013-02-26,273,273,69,96
"57","sty",NA,"KB",2009-01-01,"NH",2014-05-24,2016-03-29,675,2012-01-01,NA,NA,NA,FALSE,0,NA,2015-05-24,TRUE,FALSE,0,NA,NA,NA,NA,0,0,0.528,0.56,2015-12-31,2015-12-31,5,5,2015-05-24,NA,NA,89,89
"58","twe",NA,"KB",2010-12-01,"NH",2014-05-24,2019-09-06,1931,2013-12-01,NA,NA,NA,FALSE,0,NA,2015-05-24,TRUE,FALSE,0,NA,NA,NA,NA,0,0,0.846,1,2019-09-04,2019-08-30,148,50,2015-05-24,NA,NA,2,7
"59","che",NA,NA,NA,"NH",2012-04-28,2014-05-26,758,NA,NA,NA,NA,FALSE,0,NA,2013-04-28,TRUE,TRUE,27,0.582,0,2013-04-22,2013-04-22,38,27,0.741,0.427,2014-05-24,2014-05-24,51,33,2013-04-28,6,6,2,2
"60","gel","Gagasa","AK",2007-01-01,"LT",2012-06-04,2013-10-28,511,2010-01-01,TRUE,1097,"gaga",TRUE,1097,NA,2013-06-04,TRUE,TRUE,2,0.266,0.418,2012-09-29,2012-09-29,3,2,0.216,0.085,2013-10-28,2013-10-28,8,5,2013-06-04,248,248,0,0
"61","sha",NA,NA,NA,"LT",2012-06-08,2015-02-23,990,NA,NA,NA,NA,FALSE,0,NA,2013-06-08,TRUE,TRUE,1,0.705,0.862,2012-09-29,2012-09-29,1,1,0.696,0.131,2014-09-17,2014-07-28,18,4,2013-06-08,252,252,159,210
"62","edw",NA,NA,NA,"LT",2012-06-12,2014-11-12,883,NA,NA,NA,NA,FALSE,0,NA,2013-06-12,TRUE,FALSE,0,NA,NA,NA,NA,0,0,0.996,1,2014-08-29,2014-07-28,11,5,2013-06-12,NA,NA,75,107
"63","gar","Geneva","NH",2012-10-11,"5males",2016-07-14,2016-07-14,0,2015-10-11,TRUE,1096,"gene",TRUE,1096,0.953,2017-07-14,NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2017-07-14,NA,NA,NA,NA
"64","nyo","Nkosikasi","AK",2012-10-22,"BD",2017-05-16,2018-11-19,552,2015-10-22,FALSE,0,NA,FALSE,0,NA,2018-05-16,TRUE,TRUE,26,0.394,0.208,2018-04-06,2018-04-06,41,26,0.51,0.306,2018-10-25,2018-10-25,66,49,2018-05-16,40,40,25,25
"65","unw","Ulaka","AK",2012-10-22,"BD",2017-05-04,2017-12-07,217,2015-10-22,FALSE,328,"ulak",FALSE,328,0.7,2018-05-04,FALSE,TRUE,18,0.541,0.468,2017-12-06,2017-12-06,31,18,0.541,0.468,2017-12-06,2017-12-06,31,18,2018-05-04,149,149,1,1
"66","rhe","Roma","NH",2012-10-27,"BD",2017-12-05,2021-09-27,1392,2015-10-27,TRUE,1096,"roma",TRUE,1096,0.114,2018-12-05,TRUE,TRUE,17,0.558,0.531,2018-12-03,2018-12-03,20,17,0.399,0.454,2021-09-17,2021-09-17,110,80,2018-12-05,2,2,10,10
"67","vul","Vroutjie","BD",2012-11-14,"NH",2020-04-16,2025-03-17,1796,2015-11-14,TRUE,1096,"vrou",TRUE,1096,NA,2021-04-16,TRUE,TRUE,17,0.294,0.574,2021-04-07,2021-04-07,28,17,0.554,0.577,2024-11-04,2024-11-04,154,105,2021-04-16,9,9,133,133
"68","hlo","Hleka","AK",2012-12-23,"BD",2017-05-16,2019-11-20,918,2015-12-23,FALSE,1059,"hlek",FALSE,1059,0.564,2018-05-16,TRUE,TRUE,33,0.383,0,2018-05-15,2018-05-15,58,33,0.697,0.526,2019-10-31,2019-10-30,131,76,2018-05-16,1,1,20,21
"69","fud",NA,NA,NA,"AK",2013-06-11,2015-09-11,822,NA,NA,NA,NA,FALSE,0,NA,2014-06-11,TRUE,TRUE,4,0.298,0,2014-05-26,2014-05-26,4,4,0.368,0.178,2015-06-02,2015-06-02,10,8,2014-06-11,16,16,101,101
"70","can",NA,NA,NA,"NH",2013-06-28,2016-02-25,972,NA,NA,NA,NA,FALSE,0,NA,2014-06-28,TRUE,TRUE,4,0.37,0.024,2014-01-03,2014-01-03,5,4,0.397,0,2015-08-21,2015-08-21,6,5,2014-06-28,176,176,188,188
"71","uji","Uppsala","NH",2013-10-31,"Jacaranda",2018-05-26,2018-05-26,0,2016-10-31,TRUE,1097,"upps",TRUE,1097,0.681,2019-05-26,NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2019-05-26,NA,NA,NA,NA
"72","avo","Amazon","KB",2013-11-11,"NH",2018-05-14,2018-06-12,29,2016-11-11,FALSE,561,"amaz",FALSE,561,0.497,2019-05-14,TRUE,TRUE,1,0.387,0,2018-05-31,2018-05-31,2,1,0.387,0,2018-05-31,2018-05-31,2,1,2019-05-14,348,348,12,12
"73","gla","Geneva","NH",2013-11-12,"Jacaranda",2018-05-28,2018-05-28,0,2016-11-12,TRUE,1097,"gene",TRUE,1097,0.94,2019-05-28,NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2019-05-28,NA,NA,NA,NA
"74","yan","Yenissei","KB",2013-01-01,"NH",2018-05-14,2020-01-27,623,2016-01-01,TRUE,1096,"yeni",TRUE,1096,NA,2019-05-14,TRUE,TRUE,13,0.219,0,2019-05-11,2019-04-10,39,13,0.438,0,2019-12-02,2019-08-17,47,19,2019-05-14,3,34,56,163
"75","jag",NA,NA,NA,"BD",2014-05-08,2015-01-10,247,NA,NA,NA,NA,FALSE,0,NA,2015-05-08,FALSE,TRUE,2,0.461,0.595,2014-12-23,2014-12-23,2,2,0.461,0.595,2014-12-23,2014-12-23,2,2,2015-05-08,136,136,18,18
"76","dow",NA,NA,NA,"LT",2014-05-28,2014-07-09,42,NA,NA,NA,NA,FALSE,0,NA,2015-05-28,FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2015-05-28,NA,NA,NA,NA
"77","umz",NA,NA,NA,"AK",2014-06-09,2015-09-12,460,NA,NA,NA,NA,FALSE,0,NA,2015-06-09,TRUE,TRUE,5,0.167,0,2015-06-02,2015-06-02,5,5,0.167,0,2015-06-02,2015-06-02,5,5,2015-06-09,7,7,102,102
"78","dap",NA,NA,NA,"BD",2014-07-01,2016-01-27,575,NA,NA,NA,NA,FALSE,0,NA,2015-07-01,TRUE,TRUE,1,0.376,0.393,2015-04-25,2015-04-25,1,1,0.349,0.341,2015-11-27,2015-07-18,5,2,2015-07-01,67,67,61,193
"79","ada",NA,NA,NA,"LT",2014-08-14,2016-11-14,823,NA,NA,NA,NA,FALSE,0,NA,2015-08-14,TRUE,TRUE,3,0.385,0,2015-06-26,2015-06-26,5,3,0.181,0,2016-10-11,2016-10-11,13,10,2015-08-14,49,49,34,34
"80","gaa","Gesels","BD",2014-10-20,"CR",2019-06-18,2019-06-18,0,2017-10-20,TRUE,1097,"gese",TRUE,1097,0.44,2020-06-17,FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2020-06-17,NA,NA,NA,NA
"81","mat","Mamoobi","AK",2014-10-21,"BD",2020-02-17,2021-01-30,348,2017-10-21,TRUE,1097,"mamo",TRUE,1097,0.137,2021-02-16,TRUE,TRUE,16,0.495,0.24,2021-01-13,2021-01-13,21,16,0.495,0.24,2021-01-13,2021-01-13,21,16,2021-02-16,34,34,17,17
"82","hei","Heerlik","BD",2014-10-31,"CR",2021-04-01,2021-04-02,1,2017-10-31,TRUE,1097,"heer",TRUE,1097,0.488,2022-04-01,FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2022-04-01,NA,NA,NA,NA
"83","ihl","Isilonda","AK",2014-11-03,"IF",2016-04-29,2017-04-07,343,2017-11-03,FALSE,887,"isil",FALSE,887,0.264,2017-04-29,NA,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2017-04-29,NA,NA,NA,NA
"84","ted","Chiloe","CR",2014-11-12,"BD",2019-05-25,2022-05-19,1090,2017-11-12,FALSE,1042,"chil",TRUE,1042,NA,2020-05-24,TRUE,TRUE,26,0.305,0,2020-05-09,2020-05-09,41,26,0.085,0,2022-05-10,2022-05-10,108,67,2020-05-24,15,15,9,9
"85","obe","Oulik","BD",2014-11-15,"CR",2020-08-06,2022-02-22,565,2017-11-15,TRUE,1097,"ouli",TRUE,1097,0.988,2021-08-06,TRUE,TRUE,2,0,0,2021-06-23,2021-06-23,2,2,0.494,0,2022-02-07,2022-02-07,8,4,2021-08-06,44,44,15,15
"86","pro","Pretoria","NH",2014-11-19,"BD",2019-07-13,2022-04-16,1008,2017-11-19,TRUE,1097,"pret",TRUE,1097,0.426,2020-07-12,TRUE,TRUE,12,0.633,0.412,2020-07-08,2020-07-01,22,12,0.609,1,2022-04-13,2022-04-13,57,30,2020-07-12,4,11,3,3
"87","tha",NA,NA,NA,"KB",2014-11-19,2015-08-26,280,NA,NA,NA,NA,FALSE,0,NA,2015-11-19,FALSE,TRUE,8,0.684,0.582,2015-06-29,2015-06-29,8,8,0.684,0.582,2015-06-29,2015-06-29,8,8,2015-11-19,143,143,58,58
"88","jap",NA,NA,NA,"CR",2014-11-20,2015-05-15,176,NA,NA,NA,NA,FALSE,0,NA,2015-11-20,FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2015-11-20,NA,NA,NA,NA
"89","ker",NA,NA,NA,"CR",2014-12-30,2015-05-26,147,NA,NA,NA,NA,FALSE,0,NA,2015-12-30,FALSE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2015-12-30,NA,NA,NA,NA
"90","pal",NA,"CR",2012-01-01,"BD",2016-12-07,2022-03-01,1910,2015-01-01,NA,NA,NA,FALSE,0,NA,2017-12-07,TRUE,TRUE,58,0.733,1,2017-12-06,2017-12-06,95,58,0.75,1,2022-02-07,2022-01-18,377,251,2017-12-07,1,1,22,42
"91","sol",NA,NA,NA,"CR",2014-12-30,2017-01-28,760,NA,NA,NA,NA,FALSE,0,NA,2015-12-30,TRUE,FALSE,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,2015-12-30,NA,NA,NA,NA
